provider_code,name,city_dist,address,geocode_address
3801012754,頤鳴堂中醫診所,臺北市松山區,臺北市松山區長春路446號(1樓),台北市松山區長春路446號(1樓)
3701014345,杏頤牙醫診所,臺北市松山區,臺北市松山區復興北路361巷2之1號(1樓),台北市松山區復興北路361巷2之1號(1樓)
3701014381,安悅美學牙醫診所,臺北市松山區,臺北市松山區南京東路4段77號1樓,台北市松山區南京東路4段77號1樓
3701011808,宏昌牙醫診所,臺北市松山區,臺北市松山區延吉街４９號,台北市松山區延吉街４９號
3701011791,毛冠人牙醫診所,臺北市松山區,臺北市松山區南京東路五段２３巷１８號,台北市松山區南京東路五段２３巷１８號
3701011371,高登牙醫診所,臺北市松山區,臺北市松山區民權東路三段１６６號１樓,台北市松山區民權東路三段１６６號１樓
3701013419,南加州牙醫診所,臺北市松山區,臺北市松山區敦化南路一段69號2樓、67號2樓,台北市松山區敦化南路一段69號2樓
3701013599,康和牙醫診所,臺北市松山區,臺北市松山區八德路3段241號1、2樓,台北市松山區八德路3段241號1
3701014247,大衛牙醫診所,臺北市松山區,臺北市松山區富錦街527號1樓,台北市松山區富錦街527號1樓
3801012272,弘祐中醫診所,臺北市松山區,臺北市松山區八德路三段12巷4弄15號,台北市松山區八德路三段12巷4弄15號
1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區,"臺北市松山區八德路二段424,426號","台北市松山區八德路二段424,426號"
3801012549,慈和中醫診所,臺北市松山區,臺北市松山區八德路四段245巷32弄65號,台北市松山區八德路四段245巷32弄65號
3701014309,鉑金牙醫診所,臺北市松山區,臺北市松山區八德路3段164號1樓、164之1號(1樓),台北市松山區八德路3段164號1樓
3701013848,泰華牙醫診所,臺北市松山區,臺北市松山區光復北路38號,台北市松山區光復北路38號
3801012049,仲佑中醫診所,臺北市松山區,臺北市松山區八德路三段２12號１樓,台北市松山區八德路三段２12號１樓
3701012056,藍明賢牙醫診所,臺北市松山區,臺北市松山區敦化北路２２２巷１之１號１樓,台北市松山區敦化北路２２２巷１之１號１樓
3701013562,原點牙醫診所,臺北市松山區,臺北市松山區慶城街16巷1號,台北市松山區慶城街16巷1號
3701010829,生春牙醫診所,臺北市松山區,臺北市松山區南京東路五段139號,台北市松山區南京東路五段139號
3701013240,康霖牙醫診所,臺北市松山區,臺北市松山區延壽街４３０號,台北市松山區延壽街４３０號
3701013740,采德牙醫診所,臺北市松山區,臺北市松山區南京東路五段106號2樓,台北市松山區南京東路五段106號2樓
3701010294,得揚牙醫診所,臺北市松山區,臺北市松山區三民路１３６巷４２號,台北市松山區三民路１３６巷４２號
3801012610,民昇中醫診所,臺北市松山區,臺北市松山區民生東路五段87號,台北市松山區民生東路五段87號
3701014265,博飛迅牙醫診所,臺北市松山區,臺北市松山區八德路4段666號7樓之2,台北市松山區八德路4段666號7樓之2
3701014256,佳斯緹牙醫診所,臺北市松山區,臺北市松山區民生東路3段113巷6弄5號1樓,台北市松山區民生東路3段113巷6弄5號1樓
